"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Ridwandasitisar @jokowi Mau jadi Rangking 1..??
Jadikan beliau 3 Periode..!!!",FALSE,0,"Ridwandasitisar",2022-12-06 20:11:12,FALSE,"1599894925570879488","1600221337276252160","1219820343881154561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaiAndromeda",0,FALSE,FALSE,NA,NA
"2","@Ridwandasitisar @jokowi tambah 1 periode lagi agar pencapaian maksimal,,,,menjadi no. 1",FALSE,0,"Ridwandasitisar",2022-12-06 19:58:19,FALSE,"1599894925570879488","1600218098539593728","1219820343881154561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mdeddyn77",0,FALSE,FALSE,NA,NA
"3","@Ridwandasitisar @Ameeranti @jokowi Yg mangkraaakkkk bukan cuma proyek Hambalang lo ini 👇udah mo abis 2 periode ber… https://t.co/fckKBDNkgJ",FALSE,0,"Ridwandasitisar",2022-12-06 18:59:17,TRUE,"1599894925570879488","1600203239290712064","1219820343881154561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yedi_kurniahadi",0,FALSE,FALSE,NA,NA
"4","@bangpoerslalu @JamalBoegis NasDem dukung jokowi itu 2 periode, jokowi 2024 selesai dan NasDem sah2 saja usung siap… https://t.co/kTdDgd6h4v",FALSE,0,"bangpoerslalu",2022-12-06 17:47:58,TRUE,"1600046832620404736","1600185294409826309","1415835367","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SyafrilAlam",0,FALSE,FALSE,NA,NA
"5","Tetap fokus Jokowi 2 Periode, that is the point 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",FALSE,0,NA,2022-12-06 17:47:14,FALSE,NA,"1600185108480217089",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","RahayuShintta",0,FALSE,FALSE,NA,NA
"6","Hidup jokowi, PDIP! 30 PERIODE!",FALSE,0,"Hyasasinn16",2022-12-06 17:38:37,FALSE,"1600182354995122176","1600182938984849408","1376240178377883652","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hyasasinn16",0,FALSE,FALSE,NA,NA
"7","Siapa pun Cawapres, intinya Jokowi harus 2 periode. 

#2019jokowilanjut
#2019TetapJokowi 
#2019JokowiMaruf
#2019JokowiMarufAmin",FALSE,0,NA,2022-12-06 17:16:58,FALSE,NA,"1600177491091816448",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","RahayuShintta",0,FALSE,FALSE,NA,NA
"8","Tapi pak Jokowi 2 periode 💀 https://t.co/NlAJfdYCW0",FALSE,0,NA,2022-12-06 16:26:55,FALSE,NA,"1600164897391722496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AyangChaehyun",0,FALSE,FALSE,NA,NA
"9","Sebenarnya sederhana saja pilpres akan datang, jika masyarakat menganggap 2 periode Jokowi memimpin masyarakat meng… https://t.co/M0y1qD9rdA",FALSE,0,NA,2022-12-06 16:25:12,TRUE,NA,"1600164462178160643",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zhuLL_Thomadio",0,FALSE,FALSE,NA,NA
"10","@rajatikam_ @jokowi @ganjarpranowo @gibran_tweet @prabowo @ListyoSigitP @puanmaharani_ri @AgusYudhoyono @Hary_Tanoe… https://t.co/iRd0HpGo5X",FALSE,1,"rajatikam_",2022-12-06 15:52:16,TRUE,"1600144591034150913","1600156176326725632","1247272837","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dheta_dewa",0,FALSE,FALSE,NA,NA
"11","@Wandystjk Pembangunan infrastruktur 10 tahun terakhir terbukti mampu menahan laju inflasi pada periode Jokowi. Apa… https://t.co/i2CD56kirS",FALSE,1,"Wandystjk",2022-12-06 15:03:39,TRUE,"1600106616963362817","1600143942464729088","1393950183596068869","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rizieqdivist",0,FALSE,FALSE,NA,NA
"12","@ndagels Kalau tiba2 Presiden Jokowi maju 3 periode ga ada yg bisa protes lagi.., atau presiden/ pejabat negara/ pe… https://t.co/GYtyfeZW6i",FALSE,2,"ndagels",2022-12-06 14:43:43,TRUE,"1600118139554918401","1600138925120532481","123483858","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MD_IN",0,FALSE,FALSE,NA,NA
"13","Di geber karena 2023 udah tahun politik.

Hadiah dari mr presiden jokowi selama periode ke 2 😏👏

Pertanyaan nya sia… https://t.co/zcHQRH417m",FALSE,0,NA,2022-12-06 14:25:48,TRUE,NA,"1600134415258365952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_rakanisme",0,FALSE,FALSE,NA,NA
"14","@makhluk_62 @Ryu53944310 @dabigujosman1 @UyokBack Haha...gua bkn relawan, g ada urusan sm wacana 3 periode, gua cmn… https://t.co/dJTsC1hcx4",FALSE,0,"makhluk_62",2022-12-06 13:46:05,TRUE,"1600122976933801984","1600124421863526400","1593165978761760769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TenaboloDade",0,FALSE,FALSE,NA,NA
"15","@TenaboloDade @Ryu53944310 @dabigujosman1 @UyokBack Muter apaan elu aja yg bingung sendiri.. nuduh orang muter2..
Y… https://t.co/TsXq0sC8YD",FALSE,0,"TenaboloDade",2022-12-06 13:40:21,TRUE,"1600121608764473345","1600122976933801984","974917351945551872","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makhluk_62",0,FALSE,FALSE,NA,NA
"16","@makhluk_62 @Ryu53944310 @dabigujosman1 @UyokBack Lah trs...emang ada rupanya jokowi menyetujui wacana 3 periode? C… https://t.co/WgzKGaAk0w",FALSE,1,"makhluk_62",2022-12-06 13:34:55,TRUE,"1600121345366700032","1600121608764473345","1593165978761760769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TenaboloDade",0,FALSE,FALSE,NA,NA
"17","@makhluk_62 @Ryu53944310 @dabigujosman1 @UyokBack Brrti kau itu g pernah nonton tv, sejak kapan jokowi memberi sign… https://t.co/bHNxdLpA0o",FALSE,0,"makhluk_62",2022-12-06 13:31:21,TRUE,"1600116266940841985","1600120714756993025","1593165978761760769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TenaboloDade",0,FALSE,FALSE,NA,NA
"18","@abu_waras @aniesbaswedan Itukan privat jetnya surya paloh. SP kalau mendukung seseorang, maka akan totalitas. Sama… https://t.co/Uwu69jXIxG",FALSE,0,"abu_waras",2022-12-06 13:23:38,TRUE,"1599961043064606720","1600118771363897344","2905814730","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Darisrizal06",0,FALSE,FALSE,NA,NA
"19","@makhluk_62 @Ryu53944310 @dabigujosman1 @UyokBack Itu relawan tdk sehat yg bcr 3 periode, jls dan tegas pak jokowi… https://t.co/vKDubJaWbX",FALSE,1,"makhluk_62",2022-12-06 13:06:00,TRUE,"1600113447236038657","1600114335782961152","1593165978761760769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TenaboloDade",0,FALSE,FALSE,NA,NA
"20","@marlina_idha Di sumbar juga jokowi kalah. Tp tetap menang bahkan smp 2 periode. 🤭",FALSE,1,"marlina_idha",2022-12-06 13:04:23,FALSE,"1599970389643661312","1600113927563902976","719725925215170561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","still_hendro",0,FALSE,FALSE,NA,NA
"21","Pada 2021, total perdagangan Indonesia-EAEU tercatat sebesar USD 3,3 miliar. Pada periode tersebut, ekspor Indonesi… https://t.co/ODnF7EdxKj",FALSE,0,NA,2022-12-06 13:03:00,TRUE,NA,"1600113578274861056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bacotradit",0,FALSE,FALSE,NA,NA
"22","@TenaboloDade @Ryu53944310 @dabigujosman1 @UyokBack Lha kalo ada org pgn Anies jdi presiden apa salah?
Relawan pak… https://t.co/LJLfcb9hS9",FALSE,0,"TenaboloDade",2022-12-06 13:02:29,TRUE,"1600112777321885696","1600113447236038657","974917351945551872","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makhluk_62",0,FALSE,FALSE,NA,NA
"23","kata cebong pki w kadrun mabuk pipis onta hah. w itu pro @jokowi 2 periode keluarga w semua coblos jokowi w anti cc… https://t.co/eWwe2TorB5",FALSE,0,NA,2022-12-06 12:59:44,TRUE,NA,"1600112755809611777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anjares90",0,FALSE,FALSE,NA,NA
"24","@komedigelaap translate:
jokowi 3 periode",FALSE,0,"komedigelaap",2022-12-06 12:58:08,FALSE,"1600036938525773824","1600112355941449728","1458829361553969154","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irzyyd",0,FALSE,FALSE,NA,NA
"25","@geloraco Emang Ganjar, puan, Erick, Jokowi nggak pada sudah kampanye. Kemaren di Istora, yg tiga periode itu apa nggak melanggar?

Hadeeeuh",FALSE,1,"geloraco",2022-12-06 12:42:32,FALSE,"1600061922316910593","1600108429120790529","3319260420","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nugroholobster",0,FALSE,FALSE,NA,NA
"26","Rakyat Bingung, Relawan Jokowi Masih Kasak Kusuk Urusan Copras Capres 3 Periode, Padahal Jokowi Sudah Ga Laku Buat… https://t.co/LnnYosI3yH",FALSE,94,NA,2022-12-06 12:38:25,TRUE,NA,"1600107392221736971",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abu_waras",33,FALSE,FALSE,NA,NA
"27","@supono_spd @mulyabali @alextham878 @Dennysiregar7 @NasDem Ngga usah kau bilang kehendak Tuhan , Jokowi jadi Presid… https://t.co/EGsdfY9T7C",FALSE,0,"supono_spd",2022-12-06 12:34:39,TRUE,"1600084536905568256","1600106445068173312","3704480292","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","decarlieracing",0,FALSE,FALSE,NA,NA
"28","Wajar rakyat kecewa dengan pemerintahan Pak @jokowi. Makanya, rakyat pengin perubahan. Rakyat tidak ingin penundaan… https://t.co/taKOy6tniD",FALSE,3,NA,2022-12-06 12:20:26,TRUE,NA,"1600102865086865408",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","arwidodo",1,FALSE,FALSE,NA,NA
"29","@chimeychil buseh orang Jokowi 3 Periode",FALSE,0,"chimeychil",2022-12-06 11:38:28,FALSE,"1600077039913951232","1600092304865636352","1025578851420622851","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluepidd",0,FALSE,FALSE,NA,NA
"30","@hyang_wisnu @PlateJohnny @jokowi @kemkominfo @Aryprasetyo85 @DS_yantie @alifahzi @Arida_237 @ArdiZA14 @denni_sauya… https://t.co/VtwnHyVoHz",FALSE,0,"hyang_wisnu",2022-12-06 11:07:56,TRUE,"1600052641664581632","1600084619801645056","1014587792062476288","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cah_Beler",0,FALSE,FALSE,NA,NA
"31","@udoijon @AniesIndonesia Emang selama ini yg dukung Jokowi 3 periode dan penundaan pemilu ormas intoleran ya bong ?",FALSE,0,"udoijon",2022-12-06 11:05:19,FALSE,"1599931789916930048","1600083963879358464","156647166","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MUSLIM_PRIBUM1",0,FALSE,FALSE,NA,NA
"32","@kenzie3104 @Erte56209029 @AniesIndonesia Iyain ajalah biar loe senang 
Meski narasinya terlihat di paksakan 🤣🤣🤣
Se… https://t.co/7eoIH1lAFC",FALSE,0,"kenzie3104",2022-12-06 11:03:03,TRUE,"1599740687611990017","1600083392896172033","1584142878770462721","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MUSLIM_PRIBUM1",0,FALSE,FALSE,NA,NA
"33","@Anaksemut4 @judiono1772 @HermanLanang3 Setidaknya Pak Jokowi udh 2 Periode 😝😝 laah wan anus? Baru Bakal Calon 😝😝😝… https://t.co/F2bPMMJ8wp",FALSE,2,"Anaksemut4",2022-12-06 11:02:25,TRUE,"1599731099395305472","1600083233303330817","984748161980817409","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eppoy89",1,FALSE,FALSE,NA,NA
"34","Kalau mengharapkan Jokowi mundur,sampai hari kiamat pun si boneka Jokowi nggak bakal mau mundur,malah minta 3 perio… https://t.co/rAysaJlkwH",FALSE,0,NA,2022-12-06 10:55:11,TRUE,NA,"1600081414203924480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jebenk63285910",1,FALSE,FALSE,NA,NA
"35","Periode ke 2 Pa @jokowi memang hebat https://t.co/g3wDaGfH4u",FALSE,16,NA,2022-12-06 10:49:52,FALSE,NA,"1600080072773619713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BennyKeef",17,FALSE,FALSE,NA,NA
"36","ADA TITO DI SETIAP MASALAH BANGSA!

Di balik isu Jokowi 3 periode,
Di balik Satgassus MP Sambo,
Di balik isu otonom… https://t.co/XIJCpf6KAA",FALSE,3,NA,2022-12-06 10:46:20,TRUE,NA,"1600079187397603331",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seanC37866888",2,FALSE,FALSE,NA,NA
"37","@Kabizal Tadinya mau nge tweet jokowi 3 periode sal",FALSE,0,"Kabizal",2022-12-06 10:34:30,FALSE,"1599900607191871488","1600076205423661056","497835589","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FarhanRahendra",0,FALSE,FALSE,NA,NA
"38","2.
PRESTASI PUAN MAHARANI MUNAFIKUN:

5. Sahkan UU IKN yang akan musnahkan Ibu kota Jakarta.
6. Dikritik rakyat kar… https://t.co/5pdks4Gl64",FALSE,5,"seanC37866888",2022-12-06 09:51:31,TRUE,"1600065384249319424","1600065391748784128","1337046784204566534","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seanC37866888",4,FALSE,FALSE,NA,NA
"39","ADA TITO DI SETIAP MASALAH BANGSA!

Di balik isu Jokowi 3 periode,
Di balik Satgassus MP Sambo,
Di balik isu otonom… https://t.co/cXC5ppLZZ8",FALSE,60,NA,2022-12-06 09:22:03,TRUE,NA,"1600057972952268800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seanC37866888",42,FALSE,FALSE,NA,NA
"40","ADA TITO DI SETIAP MASALAH BANGSA!

Di balik isu Jokowi 3 periode,
Di balik Satgassus MP Sambo,
Di balik isu otonom… https://t.co/X7rItBNsJi",FALSE,22,NA,2022-12-06 09:16:48,TRUE,NA,"1600056652753170435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MichelAdam5_",20,FALSE,FALSE,NA,NA
"41","@AksiLangsung Jokowi ga salah pak, mafia²nya yg salah. Jokowi org baik yg berjuang sendirian selama 2 periode ini.… https://t.co/5d9nvkUSOx",FALSE,295,"AksiLangsung",2022-12-06 09:13:14,TRUE,"1599982400938790917","1600055757080170496","1176903650339258368","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","notyourbabibooo",6,FALSE,FALSE,NA,NA
"42","@Msimsims2ND Kenapa malu, kok pada jamanya pak jokowi nuntutnya, dulu dulu kemana, pada periode presiden yg terdahulu.... Lucu kan........",FALSE,0,"Msimsims2ND",2022-12-06 08:52:57,FALSE,"1599657563347619840","1600050649781002240","1547769527827832832","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsanBas12345678",0,FALSE,FALSE,NA,NA
